PORT2PORT,Top Module,Source Instance,Destination Instance,Source Port,Destination Port,Connecting Net Name,MACRO NAME,,
,MySoC,$,u_master:master,clk,clock,,,,
,,$,u_slave:slave,clk,clock,,,,
,,u_slave,$,out1,out1,,,,
INTERFACE2INTERFACE,Top Module,Source Instance,Destination Instance,Source Interface,Destination Interface,Exclude Ports,Align MSB,Padded Value,MACRO NAME
,,u_master,u_slave,intf_master,intf_slave,,,,
,,,,,,,,,
,,,,,,,,,
AUTO,Top Module,Source Instance,Destination Instance,Exclude Ports,Align MSB,Padded Value,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CONSTANT,Top Module,Destination Instance,Destination Port,Constant Value,MACRO NAME,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
OPEN,Top Module,Destination Instance,Destination Port,MACRO NAME,,,,,
