PORT2PORT,Top Module,Source Instance,Destination Instance,Source Port,Destination Port,Connecting Net Name,MACRO NAME,,
,MySoC,inst1:midModule,inst2:midModule,r(5:3) ,q(4:2),,,,
,,inst1,$,r(4) ,out1(3),,,,
,,inst1,inst1,r(1:0) ,q(7:6),,,,
,,$,inst1,in1(4:3),p(2:0),,,,
,,inst1,$,r(1:0) ,out1(2:1),,,,
INTERFACE2INTERFACE,Top Module,Source Instance,Destination Instance,Source Interface,Destination Interface,Exclude Ports,Align MSB,Padded Value,MACRO NAME
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUTO,Top Module,Source Instance,Destination Instance,Exclude Ports,Align MSB,Padded Value,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CONSTANT,Top Module,Destination Instance,Destination Port,Constant Value,MACRO NAME,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
OPEN,Top Module,Destination Instance,Destination Port,MACRO NAME,,,,,
