PORT2PORT,CSV Module's Input Pin,Driving Instance,Drivin Instance's Pin,Connecting Net Name,MACRO NAME,,
,clk(0),clk_div,clkout(0),,,,
,clr(0),u_reset_db,clean(0),,,,
,enb(0),u_count_ones,max(0),,,,
PARAMETERMAP,CSV Module's Parameter,,Param Value,,,,
,max_count,,6,,,,
INTERFACE2INTERFACE,This Module's Interface name,Driving Instance Name same as above,Driving interface name,Exclude Ports,Align MSB( 1 or y or yes ),Padded Value,MACRO NAME
AUTO,,"Other instance name, same as above",,Exclude Ports,Align MSB( 1 or y or yes ),Padded Value,
CONSTANT,This Module's pin name,Keep This Column Blank,Constant Value,MACRO NAME,,,
OPEN,This Module's pin name,Keep This Column Blank,Keep This Column Blank,MACRO NAME,,,
